Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
RB,D'Onta Foreman,4000,BUF@HOU 10/14/2018 01:00PM ET,0,HOU
QB,David Fales,4000,CHI@MIA 10/14/2018 01:00PM ET,0,MIA
QB,Kevin Hogan,4000,LAR@DEN 10/14/2018 04:05PM ET,0,DEN
RB,John Kelly,4000,LAR@DEN 10/14/2018 04:05PM ET,0,LAR
QB,Austin Davis,4000,BAL@TEN 10/14/2018 04:25PM ET,0,TEN
RB,Derrick Henry,4000,BAL@TEN 10/14/2018 04:25PM ET,5.28,TEN
QB,Mike White,4000,JAX@DAL 10/14/2018 04:25PM ET,0,DAL
RB,Rod Smith,4000,JAX@DAL 10/14/2018 04:25PM ET,0.94,DAL
RB,Ronald Jones II,3900,TB@ATL 10/14/2018 01:00PM ET,3.8,TB
WR,Rashard Higgins,3900,LAC@CLE 10/14/2018 01:00PM ET,9.28,CLE
RB,Royce Freeman,3900,LAR@DEN 10/14/2018 04:05PM ET,9.82,DEN
WR,Josh Reynolds,3900,LAR@DEN 10/14/2018 04:05PM ET,1.38,LAR
WR,Taywan Taylor,3900,BAL@TEN 10/14/2018 04:25PM ET,7.78,TEN
WR,Curtis Samuel,3800,CAR@WAS 10/14/2018 01:00PM ET,11.7,CAR
RB,Marlon Mack,3800,IND@NYJ 10/14/2018 01:00PM ET,4.6,IND
DST,Vikings,3800,ARI@MIN 10/14/2018 01:00PM ET,6.8,MIN
TE,David Njoku,3800,LAC@CLE 10/14/2018 01:00PM ET,7.8,CLE
RB,Chris Ivory,3800,BUF@HOU 10/14/2018 01:00PM ET,6.48,BUF
WR,Albert Wilson,3800,CHI@MIA 10/14/2018 01:00PM ET,11.44,MIA
RB,Devontae Booker,3800,LAR@DEN 10/14/2018 04:05PM ET,5.58,DEN
TE,Cameron Brate,3700,TB@ATL 10/14/2018 01:00PM ET,6.08,TB
WR,Josh Doctson,3700,CAR@WAS 10/14/2018 01:00PM ET,3.27,WAS
WR,Brandon Marshall,3700,SEA@OAK 10/14/2018 01:00PM ET,5.7,SEA
RB,Nick Chubb,3700,LAC@CLE 10/14/2018 01:00PM ET,5.96,CLE
RB,Duke Johnson Jr.,3700,LAC@CLE 10/14/2018 01:00PM ET,6.12,CLE
WR,Tyrell Williams,3700,LAC@CLE 10/14/2018 01:00PM ET,7.92,LAC
RB,Frank Gore,3700,CHI@MIA 10/14/2018 01:00PM ET,6.54,MIA
WR,Danny Amendola,3700,CHI@MIA 10/14/2018 01:00PM ET,6.22,MIA
RB,C.J. Anderson,3600,CAR@WAS 10/14/2018 01:00PM ET,4.45,CAR
